Temporada,Club,Pos,GF,GA,Pts,GF_PG,GA_PG,PPG
2014-15,Betis,1,73,40,84,1.74,0.95,2.0
2014-15,Sporting,2,57,27,82,1.36,0.64,1.95
2015-16,Alavés,1,49,35,75,1.17,0.83,1.79
2015-16,Leganés,2,59,34,74,1.4,0.81,1.76
2016-17,Levante,1,57,33,84,1.36,0.79,2.0
2016-17,Girona,2,65,45,70,1.55,1.07,1.67
2017-18,Rayo,1,67,44,76,1.6,1.05,1.81
2017-18,Huesca,2,61,40,75,1.45,0.95,1.79
2018-19,Osasuna,1,80,41,87,1.9,0.98,2.07
2018-19,Granada,2,52,28,79,1.24,0.67,1.88
2019-20,Huesca,1,54,40,70,1.29,0.95,1.67
2019-20,Cádiz,2,52,39,69,1.24,0.93,1.64
2020-21,Espanyol,1,71,28,82,1.69,0.67,1.95
2020-21,Mallorca,2,54,28,82,1.29,0.67,1.95
2021-22,Almería,1,68,35,81,1.62,0.83,1.93
2021-22,Valladolid,2,71,40,81,1.69,0.95,1.93
2022-23,Granada,1,55,30,75,1.31,0.71,1.79
2022-23,Las Palmas,2,49,29,72,1.17,0.69,1.71
2023-24,Leganés,1,59,32,78,1.4,0.76,1.86
2023-24,Valladolid,2,54,33,76,1.29,0.79,1.81
2024-25,Levante,1,60,34,77,1.43,0.81,1.83
2024-25,Eibar,2,58,36,75,1.38,0.86,1.79
2022-23,Albacete,6,58,47,67,1.38,1.12,1.6
2023-24,Albacete,13,50,56,51,1.19,1.33,1.21
2024-25,Albacete,10,53,54,58,1.26,1.29,1.38
